,ID,Country,Affiliation or university,Academic discipline,Career stage / position,How did you find out about this workshop?,Attendance/participation type,Stream only or also exercise group? Video or in-person?,Which days you plan to attend?,Registration date,Registration state
167,214,Finland,University of helsinki,,,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-18 17:52:38.127720+00:00,Completed
168,22,Finland,Aalto university,Mechanical Engineering,Researcher,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-07-04 09:39:08.333263+00:00,Completed
169,47,Sweden,Swedish University of Agricultural Sciences,Biological Sciences,Postdoc,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Not sure I can attend, but please keep me informed",2022-07-12 10:56:30.437943+00:00,Completed
170,194,Norway,"Nansen Environmental and Remote Sensing Center (NERSC), Bergen, Norway",Earth and Related Environmental Sciences,Researcher,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-15 21:11:59.761363+00:00,Completed
171,124,Sweden,Chalmers University of Technology,Physical Sciences,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-03 16:25:57.327986+00:00,Completed
172,250,Norway,UiO,Computer and Information Sciences,Other,Friend / Colleague,Observer,Only watching the stream,"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-26 07:53:01.635701+00:00,Completed
173,18,Switzerland,TU Delft,Mechanical Engineering,Graduate student,CodeRefinery.org,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 08:59:07.184928+00:00,Completed
174,161,Finland,Aalto University,,,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-12 12:30:33.817647+00:00,Completed
175,252,Sweden,Sahlgrenska University Hospital,Clinical Medicine,Postdoc,,Learner,Only watching the stream,"Thu, Sep 29 (Day 6)",2022-09-29 07:47:42.135410+00:00,Completed
176,211,Singapore,National University of Singapore,Biological Sciences,Postdoc,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Not sure I can attend, but please keep me informed",2022-09-18 03:32:37.751240+00:00,Completed
177,94,Norway,Justervesenet-Norwegian Metrology Service,Physical Sciences,Researcher,National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-29 11:00:57.909228+00:00,Completed
178,126,Finland,Aalto Universitu,"Electrical Engineering, Electronic Engineering, Information Engineering",Undergrad. student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-05 11:02:44.983212+00:00,Completed
179,227,Finland,Aalto University,Other Engineering and Technologies,Undergrad. student,Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 09:46:39.167871+00:00,Completed
180,154,Finland,aalto university,,Graduate student,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Tue, Sep 27 (Day 4)",2022-09-12 09:04:37.682135+00:00,Completed
181,206,India,IISER,Computer and Information Sciences,Research software engineer,Twitter,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-17 11:46:29.881994+00:00,Completed
182,125,Finland,Aalto university,Physical Sciences,Graduate student,Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-03 18:37:20.148124+00:00,Completed
183,164,Finland,Aalto University,Computer and Information Sciences,Graduate student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-12 14:09:32.212021+00:00,Completed
184,185,Norway,UiT,Physical Sciences,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-14 19:59:54.464341+00:00,Completed
185,188,Netherlands,DSB BV,Physical Sciences,Industry,Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-15 13:39:34.409628+00:00,Completed
186,246,Finland,Aalto University,Health Sciences,Undergrad. student,Friend / Colleague,Learner,I would like to watch and exercise with others in-person,"Not sure I can attend, but please keep me informed",2022-09-21 07:04:32.525183+00:00,Completed
187,199,Sweden,SMHI,,,,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-16 11:04:24.526788+00:00,Completed
188,141,Finland,Aalto University,Computer and Information Sciences,Graduate student,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-08 22:25:13.982775+00:00,Completed
189,87,Norway,University of Oslo,Earth and Related Environmental Sciences,Graduate student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-26 12:22:41.407693+00:00,Completed
190,34,Sweden,"ENCCS, Uppsala University",Computer and Information Sciences,Researcher,Friend / Colleague,Instructor,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-07 08:35:11.844779+00:00,Completed
191,155,Sweden,Swedish Meteorological and Hydrological Institute,Earth and Related Environmental Sciences,Researcher,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-12 09:32:04.985203+00:00,Completed
192,111,Finland,CSC,Computer and Information Sciences,Researcher,Friend / Colleague,Instructor,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 07:54:21.633381+00:00,Completed
193,148,Finland,Aalto University,Economics and Business,Graduate student,,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-12 06:24:41.367472+00:00,Completed
194,209,China,McGill,Psychology,Graduate student,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-17 18:54:09.839185+00:00,Completed
195,84,Norway,Nansen Environmental and Remote Sensing Center,Earth and Related Environmental Sciences,Researcher,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-26 07:20:52.584587+00:00,Completed
196,162,Finland,aalto university,"Electrical Engineering, Electronic Engineering, Information Engineering",Graduate student,,Learner,I would like to watch and exercise with others in-person,"Not sure I can attend, but please keep me informed",2022-09-12 12:55:11.025333+00:00,Completed
197,235,Finland,Aalto university,Computer and Information Sciences,Undergrad. student,National HPC center,Learner,I would like to watch and exercise with others in-person,"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Not sure I can attend, but please keep me informed",2022-09-19 20:37:25.218697+00:00,Completed
198,50,Sweden,Uppsala University,Chemical Sciences,Graduate student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-07-22 16:49:33.083518+00:00,Completed
199,52,Sweden,IRF,Physical Sciences,Graduate student,,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-25 10:58:47.055839+00:00,Completed
200,153,Finland,University of Helsinki,,,,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-09-12 08:27:16.444512+00:00,Completed
201,168,Finland,Aalto University,"Electrical Engineering, Electronic Engineering, Information Engineering",Graduate student,Educational institute,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-09-13 07:36:13.353453+00:00,Completed
202,29,France,Université Rennes 1,Chemical Sciences,Graduate student,Educational institute,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 12:46:33.979022+00:00,Completed
203,217,Sweden,Sahlgrenska University Hospital,Physical Sciences,Undergrad. student,Friend / Colleague,Learner,I would like to watch and exercise with others in-person,"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 06:54:22.200403+00:00,Completed
